grado,asignatura,facultad
grado-literaturas-comparadas,Guía docente de Idioma Moderno Intermedio II: Hebreo (Materia Obligatoria) (290116Q),Facultad-de-Filosofía-y-Letras
grado-conservacion-restauracion-bienes-cultural,Guía docente de Introducción a la Conservación y Restauración de Escultura (265112A),Facultad-de-Bellas-Artes
grado-literaturas-comparadas,Guía docente de Idioma Moderno Intermedio II: Ruso (Materia Obligatoria) (290116V),Facultad-de-Filosofía-y-Letras
grado-quimica,Guía docente de Laboratorio de Química Inorgánica (2911124),Facultad-de-Ciencias
grado-estudios-ingleses-filologia-hispanica,Guía docente de Idioma Moderno Intermedio II: Japonés (Materia Obligatoria) (215116H),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses,Guía docente de Inglés Instrumental VI (Nivel B2+) (2851126),Facultad-de-Filosofía-y-Letras
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Ingeniería Gráfica Asistida por Ordenador (248112D),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-estudios-arabes-islamicos,Guía docente de Idioma Moderno Intermedio II: Griego Moderno (Materia Obligatoria) (279116I),Facultad-de-Filosofía-y-Letras
grado-estudios-arabes-islamicos,Guía docente de Idioma Moderno Intermedio II: Gallego (Materia Obligatoria) (279116E),Facultad-de-Filosofía-y-Letras
grado-educacion-social-melilla,"Guía docente de La Animación Sociocultural, Recurso de la Educación Social (5141127)",Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-estudios-ingleses-filologia-hispanica,Guía docente de Idioma Moderno Intermedio II: Polaco (Materia Obligatoria) (215116T),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses-filologia-hispanica,Guía docente de Idioma Moderno Intermedio II: Portugués (Materia Obligatoria) (215116U),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses-filologia-hispanica,Guía docente de Introducción a las Variedades Lingüísticas del Español (215112A),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses-filologia-hispanica,Guía docente de Inglés Instrumental VI (Nivel B2+) (2151127),Facultad-de-Filosofía-y-Letras
grado-educacion-infantil-melilla,Guía docente de Las Artes Visuales en la Infancia (5581124),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-filosofia,Guía docente de La Lógica y su Filosofía (26311MG),Facultad-de-Filosofía-y-Letras
grado-educacion-infantil,Guía docente de Las Artes Visuales en la Infancia (2581124),Facultad-de-Ciencias-de-la-Educación
grado-educacion-infantil-ceuta,Guía docente de Las Artes Visuales en la Infancia (4581124),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-farmacia,Guía docente de Microbiología II (2041129),Facultad-de-Farmacia
grado-traduccion-interpretacion-turismo,Guía docente de Lengua B Nivel 4 Francés (253112F),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-literaturas-comparadas,Guía docente de Literatura Universal II (2901127),Facultad-de-Filosofía-y-Letras
grado-estudios-franceses,Guía docente de Literatura Francesa II (2771126),Facultad-Desconocida
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Francesa I (B1). Minor Inicial 2 (273112T),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Árabe (252112M),Facultad-Desconocida
grado-estudios-franceses,Guía docente de Lengua Francesa VI (B2+) (27711MA),Facultad-Desconocida
grado-comunicacion-audiovisual,Guía docente de Montaje y Posproducción Audiovisual (2271129),Facultad-Desconocida
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Maior Chino: Intermedio 2 (2731124),Facultad-de-Filosofía-y-Letras
grado-estudios-arabes-islamicos,Guía docente de Literatura Árabe Clásica Oriental (2791126),Facultad-Desconocida
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Francés (252112O),Facultad-de-Traducción-e-Interpretación
grado-literaturas-comparadas,Guía docente de Literatura Española del Siglo XX. Teatro y Prosa (29011PP),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Maior Italiano: Intermedio 2 (2731128),Facultad-de-Filosofía-y-Letras
grado-biotecnologia,Guía docente de Microbiología (2511127),Facultad-de-Ciencias
grado-filosofia,"Guía docente de Lenguaje, Mundo y Mente (26311MJ)",Facultad-de-Filosofía-y-Letras
grado-filologia-hispanica,Guía docente de Lexicografía del Español (2831126),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Italiano (252112R),Facultad-de-Traducción-e-Interpretación
grado-traduccion-interpretacion,Guía docente de Lengua B Nivel 4 Alemán (252112H),Facultad-de-Traducción-e-Interpretación
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Polaco: Inicial 2 (273112Q),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion-turismo,Guía docente de Lengua C Nivel 4 Francés (253112I),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Alemán: Inicial 2 (27311MI),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de Literatura Francesa II (2901162),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion-turismo,Guía docente de Lengua C Nivel 4 Alemán (253112H),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-literaturas-comparadas,Guía docente de Literatura de la Lengua Polaca II (29011JJ),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de Literatura Brasileña (29011GG),Facultad-de-Filosofía-y-Letras
grado-edificacion-administ-direcc-empresas,Guía docente de Materiales I: Químca y Geología de los Materiales (218112A),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-traduccion-interpretacion,Guía docente de Lengua B Nivel 4 Árabe (252112I),Facultad-de-Traducción-e-Interpretación
grado-literaturas-comparadas,Guía docente de Literatura Inglesa IV (290116A),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Maior Ruso: Intermedio 2 (273112A),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses-filologia-hispanica,Guía docente de Literatura Hispanoamericana: el Legado Indígena y la Literatura Colonial (215112B),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Alemán (252112L),Facultad-de-Traducción-e-Interpretación
grado-traduccion-interpretacion,Guía docente de Lengua B Nivel 4 Inglés (252112K),Facultad-de-Traducción-e-Interpretación
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Japonés: Inicial 2 (27311MM),Facultad-de-Filosofía-y-Letras
grado-estadistica,Guía docente de Modelos Lineales (2231128),Facultad-de-Ciencias
grado-literaturas-comparadas,Guía docente de Literatura Italiana II: del Barroco al Siglo XIX (290116C),Facultad-de-Filosofía-y-Letras
grado-odontologia,Guía docente de Medicina Bucal I (201112D),Facultad-de-Odontología
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Maior Hebreo: Intermedio 2 (2731126),Facultad-de-Filosofía-y-Letras
grado-filologia-clasica,Guía docente de Literatura Griega II (276112A),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Italiano: Inicial 2 (273112Y),Facultad-de-Filosofía-y-Letras
grado-matematicas-fisica,Guía docente de Métodos Matemáticos III (295112A),Facultad-de-Ciencias
grado-filologia-hispanica,Guía docente de Literatura Hispanoamericana: el Legado Indígena y la Literatura Colonial (2831129),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Inglés (252112Q),Facultad-de-Traducción-e-Interpretación
grado-pedagogia,Guía docente de Metodología de la Investigación Educativa (2981126),Facultad-de-Ciencias-de-la-Educación
grado-lenguas-modernas-sus-literaturas,Guía docente de Literatura Italiana 2: del Barroco al Siglo XIX (273112G),Facultad-de-Filosofía-y-Letras
grado-matematicas-fisica,Guía docente de Mecánica y Ondas (2951123),Facultad-de-Ciencias
grado-inga-informatica-administ-direcc-empresas,Guía docente de Lógica y Métodos Discretos (216112B),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Portugués (252112S),Facultad-de-Traducción-e-Interpretación
grado-educacion-primaria-estudios-franceses,Guía docente de Literatura Francesa II (2541127),Facultad-de-Ciencias-de-la-EducaciónFacultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Griego (252112P),Facultad-de-Traducción-e-Interpretación
grado-edificacion,Guía docente de Materiales III: Ensayos y Control (2301126),E-T-S--de-Ingeniería-de-Edificación
grado-ingenieria-electronica-industrial,Guía docente de Máquinas y Mecanismos (2051126),Facultad-de-Ciencias
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Métodos Numéricos (248112E),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-literaturas-comparadas,Guía docente de Literatura Inglesa II (2901168),Facultad-de-Filosofía-y-Letras
grado-fisica,Guía docente de Mecánica y Ondas (2671122),Facultad-de-Ciencias
grado-ingenieria-informatica-matematicas,Guía docente de Lógica y Métodos Discretos (2971116),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias
grado-bioquimica,Guía docente de Métodos Instrumentales Cuantitativos (2611127),Facultad-de-Ciencias
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Ruso (252112T),Facultad-de-Traducción-e-Interpretación
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Chino: Inicial 2 (273112W),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Griego Moderno: Inicial 2 (27311MK),Facultad-de-Filosofía-y-Letras
grado-ciencia-tecnologia-alimentos,Guía docente de Microbiología Alimentaria (203112A),Facultad-de-Farmacia
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Portugués: Inicial 2 (273112S),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion-turismo,Guía docente de Lengua B Nivel 4 Inglés (253112G),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-odontologia,"Guía docente de Materiales Odontológicos, Equipamiento, Instrumentación y Ergonomía II (2011127)",Facultad-de-Odontología
grado-informacion-documentacion,Guía docente de Normalización para la Organización de la Información (231112A),Facultad-de-Comunicación-y-Documentación
grado-literaturas-comparadas,Guía docente de Literatura Checa II (29011HJ),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses,Guía docente de Literatura Inglesa II (2851127),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de Literatura Alemana II (29011H2),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de Literatura Francesa IV (2901164),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Ruso: Inicial 2 (27311M1),Facultad-de-Filosofía-y-Letras
grado-economia,Guía docente de Macroeconomía II (2391129),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-literaturas-comparadas,Guía docente de Literatura Griega II (29011H7),Facultad-de-Filosofía-y-Letras
grado-fisica,Guía docente de Métodos Matemáticos III (2671126),Facultad-de-Ciencias
grado-lenguas-modernas-sus-literaturas,Guía docente de Literatura Moderna y Contemporánea China (273112C),Facultad-de-Filosofía-y-Letras
grado-estudios-ingleses-filologia-hispanica,Guía docente de Literatura Inglesa II (2151129),Facultad-de-Filosofía-y-Letras
grado-filologia-clasica,Guía docente de Morfología Griega (2761126),Facultad-de-Filosofía-y-Letras
grado-farmacia-nutricion-humana-dietetica,Guía docente de Microbiología II (2251129),Facultad-de-Farmacia
grado-filologia-clasica,Guía docente de Morfología Latina (2761127),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Checo: Inicial 2 (273112M),Facultad-de-Filosofía-y-Letras
grado-matematicas,Guía docente de Mecánica (2701129),Facultad-de-Ciencias
grado-ingenieria-quimica,"Guía docente de Mecánica, Máquinas y Mecanismos (2201127)",Facultad-de-Ciencias
grado-traduccion-interpretacion-turismo,Guía docente de Lengua C Nivel 4 Inglés (253112J),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-traduccion-interpretacion,Guía docente de Lengua C Nivel 4 Chino (252112N),Facultad-de-Traducción-e-Interpretación
grado-literaturas-comparadas,Guía docente de Literatura Hispanoamericana Contemporánea: del Siglo XX a la Actualidad (29011QQ),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de Literatura  Norteamericana II (2901166),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion,Guía docente de Lengua B Nivel 4 Francés (252112J),Facultad-de-Traducción-e-Interpretación
grado-lenguas-modernas-sus-literaturas,Guía docente de Lengua Moderna Minor Hebreo: Inicial 2 (27311M3),Facultad-de-Filosofía-y-Letras
grado-historia-ciencias-musica,Guía docente de Música Española e Iberoamericana:Historia y Patrimonio I (2991129),Facultad-de-Filosofía-y-Letras
grado-traduccion-interpretacion-turismo,Guía docente de Lengua B Nivel 4 Alemán (253112E),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-literaturas-comparadas,Guía docente de Literatura Latina II (29011H9),Facultad-de-Filosofía-y-Letras
grado-farmacia,Guía docente de Química Bioinorgánica (20411B7),Facultad-de-Farmacia
grado-odontologia,Guía docente de Prótesis Estomatológica I (2011129),Facultad-de-Odontología
grado-trabajo-social,Guía docente de Servicios Sociales II (2491127),Facultad-de-Trabajo-Social
grado-educacion-infantil-ceuta,Guía docente de Observación Sistemática y Análisis de Contextos para la Innovación y la Mejora (4581129),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-estudios-arquitectura,Guía docente de Proyectos 3 (2091126),Escuela-Técnica-Superior-de-Arquitectura
grado-relaciones-laborales-recursos-humanos,Guía docente de Sistemas de Relaciones Laborales (2591129),Facultad-de-Relaciones-Laborales-y-Recursos-Humanos
grado-edprima-cc-act-fisica-melilla,Guía docente de Organización de Centros Educativos (5881126),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-quimica,Guía docente de Química Física II (2911127),Facultad-Desconocida
grado-educacion-infantil-melilla,Guía docente de Optimización del Desarrollo y Prevención del Riesgo en el Aula de Educación Infantil (5581127),Facultad-Desconocida
grado-educacion-primaria-estudios-franceses,Guía docente de Organización de Centros Educativos (254112B),Facultad-Desconocida
grado-matematicas,Guía docente de Probabilidad (270112A),Facultad-Desconocida
grado-ciencias-ambientales,"Guía docente de Sistemas de Información Geográfica, Teledetección y Cartografía Temática (206112A)",Facultad-de-Ciencias
grado-ciencias-politicas-administracion,Guía docente de Régimen Jurídico de la Actividad Administrativa I (2121126),Facultad-de-Ciencias-Políticas-y-Sociología
grado-derecho,Guía docente de Procesos Constitucionales (24211C1),Facultad-de-Derecho
grado-ciencia-tecnologia-alimentos,Guía docente de Producción de Materias Primas (2031123),Facultad-de-Farmacia
grado-matematicas-fisica,Guía docente de Probabilidad (295112B),Facultad-de-Ciencias
grado-terapia-ocupacional,Guía docente de Pediatría en Terapia Ocupacional (2431127),Facultad-de-Ciencias-de-la-Salud
grado-inga-informatica-administ-direcc-empresas,Guía docente de Técnicas Cuantitativas II (216112A),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-relaciones-laborales-recursos-humanos-mel,Guía docente de Sociología del Trabajo y de las Organizaciones (5591128),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-fisioterapia,Guía docente de Nutrición y Salud (24111A3),Facultad-de-Ciencias-de-la-Salud
grado-administracion-direccion-empresas-ceuta,Guía docente de Organización de Empresas (4331129),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-administracion-direccion-empresas-melilla,Guía docente de Técnicas Cuantitativas II (5331128),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-ciencias-politicas-administracion,Guía docente de Sistemas Políticos de Europa y Norteamérica (2121127),Facultad-de-Ciencias-Políticas-y-Sociología
grado-educacion-infantil-melilla,Guía docente de Observación Sistemática y Análisis de Contextos para la Innovación y la Mejora (5581129),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-logopedia,Guía docente de Patologías Desarrollo del Lenguaje y Trastornos Adquiridos (286112A),Facultad-de-Psicología
grado-ingenieria-civil-plan-2023,Guía docente de Planificación Territorial y Urbana (2461129),E-T-S---de-Ingeniería-de-Caminos--Canales-y-Puertos
grado-administracion-direccion-empresas-derecho,Guía docente de Técnicas Cuantitativas II (2281129),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Derecho
grado-optica-optometria,Guía docente de Óptica Fisiológica II (2871124),Facultad-de-Ciencias
grado-trabajo-social,"Guía docente de Procesos y Modelos de Intervención Individual, Familiar y Grupal (2491129)",Facultad-de-Trabajo-Social
grado-geografia-gestion-territorio,Guía docente de Técnicas Cuantitativas y Cualitativas en Geografía (2081126),Facultad-de-Filosofía-y-Letras
grado-educacion-infantil-ceuta,Guía docente de Optimización del Desarrollo y Prevención del Riesgo en el Aula de Educación Infantil (4581127),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Planificación Territorial y Urbana (248112B),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-finanzas-contabilidad,Guía docente de Técnicas Cuantitativas II (2331126),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-cc-politicas-admon-sociologia,Guía docente de Sistemas Políticos de Europa y Norteamérica (219112C),Facultad-de-Ciencias-Políticas-y-Sociología
grado-administracion-direccion-empresas-dcho-melilla,Guía docente de Técnicas Cuantitativas II (5281129),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-educacion-primaria-ceuta,Guía docente de Organización de Centros Educativos (4571126),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-traduccion-interpretacion-turismo,Guía docente de Principios de Economía II (253112B),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-trabajo-social,Guía docente de Perspectivas Feministas y Relaciones de Género (2491128),Facultad-de-Trabajo-Social
grado-administracion-direccion-empresas-melilla,Guía docente de Organización de Empresas (5331129),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-ciencias-politicas-administracion,Guía docente de Relaciones Internacionales (2121128),Facultad-de-Ciencias-Políticas-y-Sociología
grado-informacion-documentacion,Guía docente de Sistemas para la Organización del Conocimiento II (2311129),Facultad-de-Comunicación-y-Documentación
grado-farmacia,Guía docente de Técnicas Instrumentales (2041115),Facultad-de-Farmacia
grado-educacion-primaria-estudios-ingleses,Guía docente de Técnicas de Estudio de la Literatura en Lengua Inglesa (2551127),Facultad-de-Ciencias-de-la-EducaciónFacultad-de-Filosofía-y-Letras
grado-ciencias-politicas-administ-derecho,Guía docente de Sistemas Políticos de Europa y Norteamérica (2131129),Facultad-de-Ciencias-Políticas-y-SociologíaFacultad-de-Derecho
grado-quimica,Guía docente de Química Analítica II (2911126),Facultad-de-Ciencias
grado-logopedia,"Guía docente de Patología de la Voz, el Habla y la Audición (2861129)",Facultad-de-Psicología
grado-educacion-infantil,Guía docente de Optimización del Desarrollo y Prevención del Riesgo en el Aula de Educación Infantil (2581127),Facultad-de-Ciencias-de-la-Educación
grado-ciencia-tecnologia-alimentos,Guía docente de Parasitología Alimentaria (2031128),Facultad-de-Farmacia
grado-educacion-social-melilla,Guía docente de Psicología y Dinámica de Grupos: Fundamentos y Técnicas (5141129),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-bellas-artes,Guía docente de Pintura III: Metodologías Pictóricas (260112A),Facultad-de-Bellas-Artes
grado-educacion-infantil,Guía docente de Observación Sistemática y Análisis de Contextos para la Innovación y la Mejora (2581129),Facultad-de-Ciencias-de-la-Educación
grado-ingenieria-informatica-matematicas,Guía docente de Programación y Diseño Orientado a Objetos (297112C),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias
grado-relaciones-laborales-recursos-humanos-mel,Guía docente de Sistemas de Relaciones Laborales (5591129),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-odontologia,Guía docente de Ortodoncia I (201112C),Facultad-de-Odontología
grado-ingenieria-civil-administracion-dreccion-empresas,Guía docente de Técnicas Cuantitativas II (2481129),E-T-S--de-Ingeniería-de-Caminos--Canales-y-PuertosFacultad-de-Ciencias-Económicas-y-Empresariales
grado-marketing-investigacion-mercados,Guía docente de Técnicas Cuantitativas II (2361126),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-economia,Guía docente de Técnicas Cuantitativas II (2391126),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-nutricion-humana-dietetica,Guía docente de Parasitología Alimentaria (2021128),Facultad-de-Farmacia
grado-pedagogia,Guía docente de Sociología de los Medios de Comunicación y Sistema Educativo (29811C3),Facultad-de-Ciencias-de-la-Educación
grado-educacion-primaria-estudios-ingleses,Guía docente de Organización de Centros Educativos (255112B),Facultad-de-Ciencias-de-la-EducaciónFacultad-de-Filosofía-y-Letras
grado-farmacia-nutricion-humana-dietetica,Guía docente de Técnicas Instrumentales (2251127),Facultad-de-Farmacia
grado-traduccion-interpretacion-turismo,Guía docente de Organización Internacional del Turismo (253112D),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-odontologia,Guía docente de Patología Médica y Anatomía Patológica II (2011126),Facultad-de-Odontología
grado-educacion-social-ceuta,Guía docente de Psicología y Dinámica de Grupos: Fundamentos y Técnicas (4141129),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-fisioterapia-melilla,"Guía docente de Patología, Cardiología, Neurocirugía y Otros Sistemas (5411126)",Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-cc-politicas-admon-sociologia,Guía docente de Ordenamiento Constitucional Español (219112A),Facultad-de-Ciencias-Políticas-y-Sociología
grado-educacion-primaria-melilla,Guía docente de Organización de Centros Educativos (5571126),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-edificacion-administ-direcc-empresas,Guía docente de Técnicas Cuantitativas II (2181128),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-ingenieria-tecnologias-telecomunicacion,Guía docente de Señales Digitales (2211127),E-T-S--de-Ingenierías-Informática-y-de-Telecomunicación
grado-administracion-direccion-empresas,Guía docente de Organización de Empresas (2351129),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-ciencias-ambientales,Guía docente de Salud Pública y Toxicología Ambiental (2061129),Facultad-de-Ciencias
grado-geografia-gestion-territorio,Guía docente de Sistemas de Información Geográfica (Sig) (2081127),Facultad-de-Filosofía-y-Letras
grado-psicologia,Guía docente de Psicometría (2641126),Facultad-de-Psicología
grado-criminologia,Guía docente de Técnicas de Investigación en Criminología (2451129),Facultad-de-Derecho
grado-relaciones-laborales-recursos-humanos,Guía docente de Sociología del Trabajo y de las Organizaciones (2591128),Facultad-de-Relaciones-Laborales-y-Recursos-Humanos
grado-administracion-direccion-empresas-ceuta,Guía docente de Técnicas Cuantitativas II (4331128),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-quimica,Guía docente de Química Orgánica II (2911129),Facultad-de-Ciencias
grado-psicologia,Guía docente de Psicopatología Infantil y Juvenil (2641129),Facultad-de-Psicología
grado-finanzas-contabilidad,Guía docente de Sistema Financiero (233112A),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-terapia-ocupacional,Guía docente de Salud Pública (2431128),Facultad-de-Ciencias-de-la-Salud
grado-geologia,Guía docente de Paleontología (2681127),Facultad-de-Ciencias
grado-nutrichnay-dietet-ciencia-tecnol-alimentos,Guía docente de Producción de Materias Primas (211112A),Facultad-de-Farmacia
grado-educacion-social,Guía docente de Psicología y Dinámica de Grupos: Fundamentos y Técnicas (2441129),Facultad-de-Ciencias-de-la-Educación
grado-fisioterapia,"Guía docente de Patología, Cardiología, Neurocirugía y Otros Sistemas (2411126)",Facultad-de-Ciencias-de-la-Salud
grado-cc-politicas-admon-sociologia,Guía docente de Técnicas de Producción de Información Cualitativa en Sociología (2191128),Facultad-de-Ciencias-Políticas-y-Sociología
grado-optica-optometria,Guía docente de Optometría II (2871129),Facultad-de-Ciencias
grado-educacion-primaria,Guía docente de Organización de Centros Educativos (2571126),Facultad-de-Ciencias-de-la-Educación
grado-economia-bilingue,Guía docente de Técnicas Cuantitativas II (2261126),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-cc-politicas-admon-sociologia,Guía docente de Psicología Social (2191127),Facultad-de-Ciencias-Políticas-y-Sociología
grado-psicologia,Guía docente de Psicología de la Educación (2641128),Facultad-de-Psicología
grado-geologia,Guía docente de Tectónica y Geología Estructural I (268112B),Facultad-de-Ciencias
grado-educacion-social-ceuta,"Guía docente de Tic, Educación y Cambios Sociales (4141128)",Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-antropologia-social-cultural,Guía docente de Análisis Cuantitativo de Datos (2941131),Facultad-Desconocida
grado-ciencias-politicas-administracion-periodismo,Guía docente de Análisis de Datos Sociopolíticos (2241116),Facultad-Desconocida
grado-nutricion-humana-dietetica,Guía docente de Toxicología Alimentaria (202112A),Facultad-Desconocida
grado-sociologia,Guía docente de Análisis de Datos Cualitativos en Sociología (2141133),Facultad-de-Ciencias-Políticas-y-Sociología
grado-nutricion-humana-dietetica,Guía docente de Alimentación y Envejecimiento (20211A1),Facultad-de-Farmacia
grado-bioquimica,Guía docente de Bioinorgánica (26111A1),Facultad-Desconocida
grado-informacion-documentacion,Guía docente de Bibliometría (2311135),Facultad-de-Comunicación-y-Documentación
grado-traduccion-interpretacion-turismo,Guía docente de Traducción B-A Alemán (253112N),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-traduccion-interpretacion-turismo,Guía docente de Traducción B-A Francés (253112O),Facultad-de-Traducción-e-InterpretaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-ciencias-politicas-administracion,Guía docente de Análisis y Sistemas Electorales (21211D1),Facultad-de-Ciencias-Políticas-y-Sociología
grado-biotecnologia,Guía docente de Biotecnología Animal (2511133),Facultad-de-Ciencias
grado-ingenieria-electronica-industrial,Guía docente de Tratamiento y Transmisión de Señales (2051129),Facultad-de-Ciencias
grado-turismo,Guía docente de Alemán III (238113A),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-bioquimica,Guía docente de Biocomputación (26111B1),Facultad-de-Ciencias
grado-filologia-clasica,Guía docente de Textos Latinos II. 2 (2761129),Facultad-de-Filosofía-y-Letras
grado-antropologia-social-cultural,Guía docente de Antropología Política (2941135),Facultad-de-Filosofía-y-Letras
grado-sociologia,Guía docente de Teoría Sociológica Clásica y Moderna (2141127),Facultad-de-Ciencias-Políticas-y-Sociología
grado-optica-optometria,Guía docente de Tecnología de Lentes Oftálmicas I (2871127),Facultad-Desconocida
grado-farmacia,Guía docente de Biotecnología (2041131),Facultad-Desconocida
